mode,n,time_ns,result
iter,3,1657,2
iter,3,1817,2
iter,3,2146,2
iter,3,1811,2
iter,3,1730,2
iter,3,1774,2
iter,3,1690,2
iter,3,1699,2
iter,3,1638,2
iter,3,1734,2
iter,3,1694,2
iter,3,1694,2
iter,3,1767,2
iter,3,1698,2
iter,3,1738,2
iter,3,1756,2
iter,3,1632,2
iter,3,1810,2
iter,3,1694,2
iter,3,1739,2
iter,3,1750,2
iter,3,1673,2
iter,4,1998,3
iter,4,1994,3
iter,4,1880,3
iter,4,1712,3
iter,4,1919,3
iter,4,1662,3
iter,4,1751,3
iter,4,1656,3
iter,4,1577,3
iter,4,1571,3
iter,4,2074,3
iter,4,1712,3
iter,4,2641,3
iter,4,1783,3
iter,4,1795,3
iter,4,1733,3
iter,4,1657,3
iter,4,1686,3
iter,4,1634,3
iter,4,1832,3
iter,4,1621,3
iter,4,1793,3
iter,4,1658,3
iter,4,1635,3
iter,4,1733,3
iter,4,1713,3
iter,4,1697,3
iter,4,1712,3
iter,4,2567,3
iter,4,2215,3
iter,4,2385,3
iter,4,1936,3
iter,4,1728,3
iter,4,1786,3
iter,4,1776,3
iter,4,1569,3
iter,4,1674,3
iter,4,1747,3
iter,4,1790,3
iter,4,1788,3
iter,4,1537,3
iter,4,1766,3
iter,4,1669,3
iter,4,1781,3
iter,4,1897,3
iter,4,1744,3
iter,4,1598,3
iter,4,1805,3
iter,4,1618,3
iter,4,1733,3
iter,4,1779,3
iter,4,1707,3
iter,4,1726,3
iter,4,1732,3
iter,4,1790,3
iter,4,1605,3
iter,4,1832,3
iter,4,1594,3
iter,4,1694,3
iter,4,1707,3
iter,4,1766,3
iter,4,1716,3
iter,4,1723,3
iter,4,1666,3
iter,4,1793,3
iter,4,1676,3
iter,4,1787,3
iter,4,1808,3
iter,4,1588,3
iter,4,1668,3
iter,4,1732,3
iter,4,1630,3
iter,4,1647,3
iter,4,1598,3
iter,4,2022,3
iter,4,1678,3
iter,4,1861,3
iter,4,1969,3
iter,4,1921,3
iter,4,2161,3
iter,4,1980,3
iter,4,1747,3
iter,4,1623,3
iter,4,1822,3
iter,4,1855,3
iter,4,1658,3
iter,4,1751,3
iter,4,1572,3
iter,4,1768,3
iter,4,1700,3
iter,4,1724,3
iter,4,1585,3
iter,4,2358,3
iter,4,1912,3
iter,4,1706,3
iter,4,1595,3
iter,4,1747,3
iter,4,1651,3
iter,4,1700,3
iter,4,1615,3
iter,5,1793,5
iter,5,1776,5
iter,5,1804,5
iter,5,1711,5
iter,5,1710,5
iter,5,1787,5
iter,5,2266,5
iter,5,1745,5
iter,5,1661,5
iter,5,1696,5
iter,5,1757,5
iter,5,2747,5
iter,5,2307,5
iter,5,1949,5
iter,5,2316,5
iter,5,1758,5
iter,5,1749,5
iter,5,1776,5
iter,5,2002,5
iter,5,1799,5
iter,5,1726,5
iter,5,2352,5
iter,5,1823,5
iter,5,1614,5
iter,5,1696,5
iter,5,1750,5
iter,5,1794,5
iter,5,1762,5
iter,5,1663,5
iter,5,1761,5
iter,5,1688,5
iter,5,1981,5
iter,5,1716,5
iter,5,1587,5
iter,5,1599,5
iter,5,1674,5
iter,5,1630,5
iter,5,1734,5
iter,5,1546,5
iter,5,1583,5
iter,5,1966,5
iter,5,1596,5
iter,5,1757,5
iter,5,1683,5
iter,5,1567,5
iter,5,1626,5
iter,5,1691,5
iter,5,1750,5
iter,5,1729,5
iter,5,1672,5
iter,5,1675,5
iter,5,1640,5
iter,5,1657,5
iter,5,1658,5
iter,5,1866,5
iter,5,1761,5
iter,5,1730,5
iter,5,1779,5
iter,5,1662,5
iter,5,1652,5
iter,5,1669,5
iter,5,1609,5
iter,5,1763,5
iter,5,1943,5
iter,5,1766,5
iter,5,1682,5
iter,5,1752,5
iter,5,1805,5
iter,5,1797,5
iter,5,1584,5
iter,5,1966,5
iter,5,1740,5
iter,5,1713,5
iter,5,1756,5
iter,5,1720,5
iter,5,1738,5
iter,5,1697,5
iter,5,1727,5
iter,5,1682,5
iter,5,1704,5
iter,5,1759,5
iter,5,1604,5
iter,5,1851,5
iter,5,1740,5
iter,5,1729,5
iter,5,1734,5
iter,5,1746,5
iter,5,1745,5
iter,5,1948,5
iter,5,1665,5
iter,5,1692,5
iter,5,2054,5
iter,5,1691,5
iter,5,1716,5
iter,5,1665,5
iter,5,1700,5
iter,5,1693,5
iter,5,2052,5
iter,5,2094,5
iter,5,2108,5
iter,6,2032,8
iter,6,2072,8
iter,6,1718,8
iter,6,1662,8
iter,6,1899,8
iter,6,1717,8
iter,6,1785,8
iter,6,1700,8
iter,6,1690,8
iter,6,1767,8
iter,6,1995,8
iter,6,1755,8
iter,6,1696,8
iter,6,1769,8
iter,6,1760,8
iter,6,6425,8
iter,6,1726,8
iter,6,1736,8
iter,6,1771,8
iter,6,1602,8
iter,6,1712,8
iter,6,1664,8
iter,6,1709,8
iter,6,1755,8
iter,6,1606,8
iter,6,1617,8
iter,6,1758,8
iter,6,1892,8
iter,6,1705,8
iter,6,1725,8
iter,6,1804,8
iter,6,1776,8
iter,6,1698,8
iter,6,1692,8
iter,6,1929,8
iter,6,2050,8
iter,6,1773,8
iter,6,1762,8
iter,6,1770,8
iter,6,1675,8
iter,6,1792,8
iter,6,1746,8
iter,6,1688,8
iter,6,1693,8
iter,6,1678,8
iter,6,1714,8
iter,6,1874,8
iter,6,1770,8
iter,6,1695,8
iter,6,2105,8
iter,6,1872,8
iter,6,1806,8
iter,6,1777,8
iter,6,1678,8
iter,6,1736,8
iter,6,1666,8
iter,6,1891,8
iter,6,1775,8
iter,6,1784,8
iter,6,1740,8
iter,6,1634,8
iter,6,1794,8
iter,6,1735,8
iter,6,1574,8
iter,6,1833,8
iter,6,1640,8
iter,6,1864,8
iter,6,1710,8
iter,6,1807,8
iter,6,1663,8
iter,6,1662,8
iter,6,1787,8
iter,6,1873,8
iter,6,1657,8
iter,6,1702,8
iter,6,1796,8
iter,6,1718,8
iter,6,1618,8
iter,6,1763,8
iter,6,1643,8
iter,6,1620,8
iter,6,1691,8
iter,6,3154,8
iter,6,3230,8
iter,6,1965,8
iter,6,1813,8
iter,6,1681,8
iter,6,1853,8
iter,6,1714,8
iter,6,1698,8
iter,6,1977,8
iter,6,1701,8
iter,6,1658,8
iter,6,1671,8
iter,6,1695,8
iter,6,1664,8
iter,6,1807,8
iter,6,14864,8
iter,6,1741,8
iter,6,1912,8
iter,7,1798,13
iter,7,1747,13
iter,7,1690,13
iter,7,1690,13
iter,7,1724,13
iter,7,1723,13
iter,7,1765,13
iter,7,1669,13
iter,7,1772,13
iter,7,1702,13
iter,7,1865,13
iter,7,1777,13
iter,7,1634,13
iter,7,2220,13
iter,7,1706,13
iter,7,1785,13
iter,7,1657,13
iter,7,1677,13
iter,7,1694,13
iter,7,1703,13
iter,7,1818,13
iter,7,1698,13
iter,7,1703,13
iter,7,1569,13
iter,7,1695,13
iter,7,1602,13
iter,7,1733,13
iter,7,1930,13
iter,7,1717,13
iter,7,1766,13
iter,7,1805,13
iter,7,1821,13
iter,7,1719,13
iter,7,1719,13
iter,7,1844,13
iter,7,1809,13
iter,7,1656,13
iter,7,1701,13
iter,7,1816,13
iter,7,1671,13
iter,7,1743,13
iter,7,1817,13
iter,7,1747,13
iter,7,1803,13
iter,7,1769,13
iter,7,1746,13
iter,7,1758,13
iter,7,1775,13
iter,7,1720,13
iter,7,1685,13
iter,7,1663,13
iter,7,1910,13
iter,7,14870,13
iter,7,2033,13
iter,7,1781,13
iter,7,1753,13
iter,7,1823,13
iter,7,1698,13
iter,7,2505,13
iter,7,1690,13
iter,7,1784,13
iter,7,1753,13
iter,7,1710,13
iter,7,1828,13
iter,7,1916,13
iter,7,1773,13
iter,7,1920,13
iter,7,1730,13
iter,7,1908,13
iter,7,3605,13
iter,7,9238,13
iter,7,2213,13
iter,7,1824,13
iter,7,2125,13
iter,7,1727,13
iter,7,1814,13
iter,7,1830,13
iter,7,1595,13
iter,7,1714,13
iter,7,1649,13
iter,7,1666,13
iter,7,1723,13
iter,7,1685,13
iter,7,1834,13
iter,7,1807,13
iter,7,1841,13
iter,7,1673,13
iter,7,1950,13
iter,7,2212,13
iter,7,1708,13
iter,7,1749,13
iter,7,2080,13
iter,7,1722,13
iter,7,1814,13
iter,7,1783,13
iter,7,1704,13
iter,7,1702,13
iter,7,1795,13
iter,7,1851,13
iter,7,1698,13
iter,8,1932,21
iter,8,1795,21
iter,8,1819,21
iter,8,1859,21
iter,8,1624,21
iter,8,1677,21
iter,8,1628,21
iter,8,1618,21
iter,8,1864,21
iter,8,1773,21
iter,8,1576,21
iter,8,1637,21
iter,8,1640,21
iter,8,1819,21
iter,8,1748,21
iter,8,1715,21
iter,8,1562,21
iter,8,1866,21
iter,8,1798,21
iter,8,1680,21
iter,8,1751,21
iter,8,1760,21
iter,8,2027,21
iter,8,1724,21
iter,8,1578,21
iter,8,1686,21
iter,8,1792,21
iter,8,1858,21
iter,8,1658,21
iter,8,1688,21
iter,8,1600,21
iter,8,1659,21
iter,8,1736,21
iter,8,1673,21
iter,8,1746,21
iter,8,1733,21
iter,8,1592,21
iter,8,1787,21
iter,8,1747,21
iter,8,1764,21
iter,8,1560,21
iter,8,1742,21
iter,8,1789,21
iter,8,1583,21
iter,8,1660,21
iter,8,1759,21
iter,8,1859,21
iter,8,1616,21
iter,8,1776,21
iter,8,1694,21
iter,8,1674,21
iter,8,1831,21
iter,8,1627,21
iter,8,2034,21
iter,8,2237,21
iter,8,2147,21
iter,8,1858,21
iter,8,1822,21
iter,8,1680,21
iter,8,1721,21
iter,8,1688,21
iter,8,1679,21
iter,8,1664,21
iter,8,1605,21
iter,8,1742,21
iter,8,1818,21
iter,8,1795,21
iter,8,1676,21
iter,8,1740,21
iter,8,1803,21
iter,8,1710,21
iter,8,1726,21
iter,8,1775,21
iter,8,1754,21
iter,8,1718,21
iter,8,1609,21
iter,8,1889,21
iter,8,1763,21
iter,8,1772,21
iter,8,1943,21
iter,8,1865,21
iter,8,1664,21
iter,8,1831,21
iter,8,1762,21
iter,8,1759,21
iter,8,1776,21
iter,8,1937,21
iter,8,1965,21
iter,8,1680,21
iter,8,2963,21
iter,8,1868,21
iter,8,1793,21
iter,8,1606,21
iter,8,1782,21
iter,8,1644,21
iter,8,1789,21
iter,8,1913,21
iter,8,1620,21
iter,8,2188,21
iter,8,27372,21
iter,9,1797,34
iter,9,1669,34
iter,9,1783,34
iter,9,2078,34
iter,9,1868,34
iter,9,1777,34
iter,9,1863,34
iter,9,1733,34
iter,9,1796,34
iter,9,1750,34
iter,9,1783,34
iter,9,1749,34
iter,9,1752,34
iter,9,1745,34
iter,9,1792,34
iter,9,1685,34
iter,9,1898,34
iter,9,1605,34
iter,9,1659,34
iter,9,1889,34
iter,9,1791,34
iter,9,1697,34
iter,9,1714,34
iter,9,1663,34
iter,9,1730,34
iter,9,1651,34
iter,9,1686,34
iter,9,1764,34
iter,9,1704,34
iter,9,1742,34
iter,9,1886,34
iter,9,1661,34
iter,9,1738,34
iter,9,1713,34
iter,9,1740,34
iter,9,1815,34
iter,9,2309,34
iter,9,3569,34
iter,9,2429,34
iter,9,2140,34
iter,9,1776,34
iter,9,1776,34
iter,9,2107,34
iter,9,1669,34
iter,9,1643,34
iter,9,1726,34
iter,9,1681,34
iter,9,1679,34
iter,9,1767,34
iter,9,1817,34
iter,9,1825,34
iter,9,1776,34
iter,9,1690,34
iter,9,1743,34
iter,9,1747,34
iter,9,1745,34
iter,9,1776,34
iter,9,1760,34
iter,9,1845,34
iter,9,1719,34
iter,9,1871,34
iter,9,1628,34
iter,9,1750,34
iter,9,1828,34
iter,9,1696,34
iter,9,1798,34
iter,9,1749,34
iter,9,1615,34
iter,9,1662,34
iter,9,1715,34
iter,9,1852,34
iter,9,1808,34
iter,9,1662,34
iter,9,1813,34
iter,9,1794,34
iter,9,1678,34
iter,9,1756,34
iter,9,1647,34
iter,9,1714,34
iter,9,1758,34
iter,9,1624,34
iter,9,1673,34
iter,9,1849,34
iter,9,1675,34
iter,9,1866,34
iter,9,1701,34
iter,9,1697,34
iter,9,1724,34
iter,9,1578,34
iter,9,1805,34
iter,9,1691,34
iter,9,1663,34
iter,9,1766,34
iter,9,1542,34
iter,9,1827,34
iter,9,1721,34
iter,9,1635,34
iter,9,1757,34
iter,9,1815,34
iter,9,1808,34
iter,10,1740,55
